week_ending,temp_mean
2014-06-29,14.985714285714286
2014-07-06,16.1
2014-07-13,16.3
2014-07-20,18.785714285714285
2014-07-27,19.900000000000002
2014-08-03,17.442857142857143
2014-08-10,17.014285714285712
2014-08-17,14.771428571428572
2014-08-24,12.614285714285714
2014-08-31,15.028571428571428
2014-09-07,16.014285714285712
2014-09-14,14.314285714285715
2014-09-21,16.228571428571428
2014-09-28,13.885714285714286
2014-10-05,13.942857142857141
2014-10-12,10.728571428571428
2014-10-19,13.271428571428572
2014-10-26,11.557142857142859
2014-11-02,13.571428571428571
2014-11-09,7.714285714285714
2014-11-16,9.542857142857143
2014-11-23,8.7
2014-11-30,6.928571428571429
2014-12-07,4.314285714285714
2014-12-14,4.257142857142857
2014-12-21,7.628571428571428
2014-12-28,5.642857142857143
