period,total_attendances,Value
2014-01-26,398018.0,5.452857142857143
2014-02-02,406929.0,5.241428571428571
2014-02-09,418413.0,7.571428571428571
2014-02-16,409118.0,6.3028571428571425
2014-02-23,410878.0,2.2199999999999998
2014-03-02,429996.0,4.595714285714286
2014-03-09,438615.0,1.0985714285714285
2014-03-16,446850.0,0.08
2014-03-23,450955.0,1.9971428571428569
2014-03-30,433777.0,2.412857142857143
2014-04-06,450015.0,2.5685714285714285
2014-04-13,428084.0,0.9685714285714286
2014-04-20,432677.0,1.0614285714285716
2014-04-27,442159.0,4.122857142857143
2014-05-04,441067.0,1.5242857142857142
2014-05-11,448933.0,4.437142857142857
2014-05-18,450219.0,1.0957142857142856
2014-05-25,457791.0,6.017142857142857
2014-06-01,430555.0,2.7228571428571433
2014-06-08,444197.0,3.488571428571429
2014-06-15,455876.0,1.19
2014-06-22,460936.0,0.03571428571428571
2014-06-29,455391.0,2.245714285714286
2014-07-06,450521.0,2.0042857142857144
2014-07-13,453121.0,2.0214285714285714
2014-07-20,456599.0,2.6999999999999997
2014-07-27,451114.0,0.7114285714285715
2014-08-03,431613.0,2.4642857142857144
2014-08-10,421379.0,7.0528571428571425
2014-08-17,401633.0,2.2285714285714286
2014-08-24,397339.0,1.5400000000000003
2014-08-31,411982.0,4.167142857142857
2014-09-07,422837.0,0.41571428571428576
2014-09-14,431057.0,0.09
2014-09-21,441200.0,1.0042857142857142
2014-09-28,433844.0,0.6214285714285716
2014-10-05,435217.0,3.1942857142857144
2014-10-12,422636.0,6.0042857142857144
2014-10-19,433392.0,5.072857142857143
2014-10-26,427291.0,1.4785714285714284
2014-11-02,417460.0,3.302857142857143
2014-11-09,418413.0,5.345714285714286
2014-11-16,429287.0,5.555714285714286
2014-11-23,430386.0,3.6128571428571425
2014-11-30,433100.0,1.67
2014-12-07,436377.0,1.0085714285714285
2014-12-14,440447.0,3.8528571428571428
2014-12-21,446501.0,2.882857142857143
2014-12-28,403314.0,3.1585714285714284
2015-01-04,407372.0,2.6585714285714284
2015-01-11,388832.0,3.402857142857143
2015-01-18,377839.0,5.022857142857143
2015-01-25,389400.0,1.5
2015-02-01,400414.0,2.0685714285714285
2015-02-08,407187.0,0.6371428571428571
2015-02-15,420026.0,1.5357142857142858
2015-02-22,405622.0,3.948571428571429
2015-03-01,425611.0,2.8285714285714287
2015-03-08,433927.0,0.7214285714285714
2015-03-15,433269.0,1.8057142857142858
2015-03-22,444849.0,0.3485714285714286
2015-03-29,444473.0,2.892857142857143
2015-04-05,439766.0,2.3985714285714286
2015-04-12,442874.0,0.687142857142857
2015-04-19,433918.0,0.09142857142857143
2015-04-26,434596.0,0.91
2015-05-03,433407.0,2.974285714285714
2015-05-10,445116.0,4.447142857142857
2015-05-17,441271.0,2.2642857142857142
2015-05-24,434701.0,1.3399999999999999
2015-05-31,430635.0,2.2985714285714285
2015-06-07,434724.0,1.7957142857142858
2015-06-14,444151.0,1.74
2015-06-21,448591.0,1.157142857142857
2015-06-28,448428.0,0.8485714285714286
